"id";"recipe_id";"step_number";"description"
1;1;1;"Dip chicken pieces in Italian dressing and roll in bread crumbs."
2;1;2;"Place on liner pan."
3;1;3;"Nu-Wave 8 minutes per side (or until done)."
4;1;4;"Open oven and spoon sauce on each piece and sprinkle with cheese."
5;1;5;"Cook 2 more minutes."
6;2;1;"In a bowl, combine the breadcrumbs with the meat and two eggs."
7;2;2;"Add plenty of freshly grated Parmesan."
8;2;3;"Add some parsley and garlic."
9;2;4;"Add plenty of freshly ground black pepper and a little salt."
10;2;5;"Mix it all together."
11;2;6;"Scoop out balls, roll them up neatly, and place them on a pan."
12;2;7;"Stick the pan in the freezer for about 5 or 10 minutes."
13;2;8;"Heat up some olive oil in a heavy pot or skillet."
14;2;9;"When the oil's hot, add about eight of the meatballs."
15;2;10;"Cook the for a couple of minutes, turning them brown on all sides."
16;2;11;"Remove the meatballs when they're brown on the outside but not done on the inside."
17;2;12;"Repeat with all the meatballs until they're all browned and delicious."
18;2;13;"Keep the same pot over medium-high heat."
19;2;14;"Throw in the chopped up onions and garlic."
20;2;15;"Stir around and cook for a couple of minutes."
21;2;16;"Crush up tomatoes and pour them into the pot."
22;2;17;"Add some red pepper flakes."
23;2;18;"Stir in the parsley."
24;2;19;"Add salt, pepper, and a little bit of sugar."
25;2;20;"Heat it up and cook the sauce for about 20 minutes."
26;2;21;"Add the meatballs."
27;2;22;"Stir them into the sauce."
28;2;23;"Allow the sauce to simmer for about 30 more minutes."
29;2;24;"Stir the sauce very gently a couple of times."
30;2;25;"Cook the spaghetti."
31;2;26;"Pile on the sauce and parmesan."
