"id";"recipe_id";"nutrient_id";"quantity";"units"
1;1;1;3251.0;"NULL"
2;1;2;227.0;"grams"
3;1;3;70.0;"grams"
4;1;4;10.0;"grams"
5;1;5;7.0;"grams"
6;1;6;1067.0;"milligrams"
7;1;7;2508.0;"milligrams"
8;1;8;273.0;"grams"
9;1;9;91.0;"milligrams"
10;1;10;209.0;"micrograms"
11;1;11;4.0;"milligrams"
12;1;12;2400.0;"milligrams"
13;1;13;20.0;"milligrams"
14;1;14;12.0;"milligrams"
15;1;15;1.0;"milligrams"
16;1;16;5.0;"micrograms"
17;1;17;2903.0;"milligrams"
18;1;18;805.0;"milligrams"
19;1;19;307.0;"milligrams"
20;1;20;13.0;"milligrams"
21;1;21;0.87;"milligrams"
22;1;22;2868.0;"International Units"
23;1;23;6.0;"milligrams"
24;1;24;40.0;"micrograms"
25;1;25;0.76;"milligrams"
26;1;26;27.0;"milligrams"
27;1;27;96.0;"micrograms"
28;1;28;3.0;"micrograms"
29;1;29;0.39;"milligrams"
30;1;30;1.0;"grams"
31;2;1;865.0;"NULL"
32;2;2;45.0;"grams"
33;2;3;15.0;"grams"
34;2;4;77.0;"grams"
35;2;5;28.0;"grams"
36;2;6;132.0;"milligrams"
37;2;7;499.0;"milligrams"
38;2;8;39.0;"grams"
39;2;9;8.0;"milligrams"
40;2;10;64.0;"micrograms"
41;2;11;0.94;"milligrams"
42;2;12;650.0;"milligrams"
43;2;13;5.0;"milligrams"
44;2;14;2.0;"milligrams"
45;2;15;0.83;"milligrams"
46;2;16;2.0;"micrograms"
47;2;17;1945.0;"milligrams"
48;2;18;495.0;"milligrams"
49;2;19;131.0;"milligrams"
50;2;20;5.0;"milligrams"
51;2;21;0.78;"milligrams"
52;2;22;5123.0;"International Units"
53;2;23;5.0;"milligrams"
54;2;24;8.0;"micrograms"
55;2;25;0.58;"milligrams"
56;2;26;76.0;"milligrams"
57;2;27;127.0;"micrograms"
58;2;28;3.0;"micrograms"
59;2;29;131.0;"milligrams"
60;2;30;9.0;"grams"
